Gender,Work Experience (Years) ,Education,Type of project ,Project budget (Core Npr),Leadership,Personal Characteristics ,Team Development & Delegation ,Communication Skills ,Technical Skills,Planning Skills,Organizational Skills ,Decision Making Skills,Analytical Abilities,Problem Solving/Coping With Siutation,Stakeholder/Relationship Management,Cost Management ,Time Management ,Health & Safety Knowledge ,Overall Competency 
1,10,1,2,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
1,10,2,2,11,1,2,1,2,1,1,1,2,1,1,2,1,1,1,3
1,6,2,2,25,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2
1,6,2,2,20,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2
1,18,2,2,55,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3
1,7,2,2,16,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2
1,16,2,2,80,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3
1,12,2,2,19,1,2,1,1,1,1,1,2,1,1,1,1,1,1,3
1,4,2,2,34,1,2,1,1,1,2,1,2,1,1,1,1,1,1,3
1,25,1,2,25,2,1,2,2,1,2,2,1,2,1,2,3,2,3,1
1,16,2,2,32,2,1,1,2,2,1,1,1,2,2,1,2,2,2,2
1,24,1,1,19,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3
1,27,1,1,73,1,1,1,1,2,2,1,1,2,1,1,2,2,1,2
1,12,2,1,73,1,1,2,2,2,2,2,2,2,2,1,2,1,1,2
1,8,2,1,55,2,1,2,2,2,3,3,3,3,2,3,2,3,2,1
1,9,2,1,44,2,2,2,3,1,2,3,2,2,2,3,2,2,2,2
1,8,2,3,14,2,2,2,3,2,2,3,3,3,3,3,2,3,2,1
1,2,2,1,67,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2
1,5,2,1,35,1,1,2,1,2,2,2,3,3,2,3,2,2,2,2
2,9,1,1,18,1,1,1,1,1,1,1,1,2,1,1,1,1,2,3
1,10,2,4,10,1,2,1,1,1,2,2,2,1,1,2,2,3,2,2
1,15,2,3,6.5,2,2,3,2,3,1,2,1,2,2,3,3,1,3,1
1,11,1,3,5,2,2,2,1,1,2,1,2,1,1,3,2,2,2,2
1,7,2,1,36,2,2,2,3,3,3,2,1,3,2,3,3,2,2,1
1,5,2,1,13,2,2,2,1,2,3,2,2,3,3,3,2,3,3,1
1,15,2,1,15,1,1,1,2,1,1,2,2,2,2,1,1,2,2,3
